,nav
2023-02-28,0.9646508399011623
2023-03-31,1.0132374963219444
2023-04-30,1.0175702578961425
2023-05-31,0.9869283051072828
2023-06-30,1.0059722017092583
2023-07-31,1.0323962102029238
2023-08-31,0.9963233643690119
2023-09-30,0.9687475463583884
2023-10-31,0.9648345669286257
2023-11-30,1.0120190761656174
2023-12-31,1.0419259218112045
2024-01-31,1.0145748320569308
2024-02-29,1.0758899525742152
2024-03-31,1.1136529492664307
2024-04-30,1.0841369072068152
2024-05-31,1.1134360722624597
2024-06-30,1.1235631629238363
2024-07-31,1.1389341989866268
2024-08-31,1.1496706046626077
2024-09-30,1.227613987056594
2024-10-31,1.2199649418748173
2024-11-30,1.2689930074452067
2024-12-31,1.249341134589707
2025-01-31,1.2878129544485561
2025-02-28,1.2686019952086234
2025-03-31,1.2564582776532278
2025-04-30,1.2672344982984698
2025-05-31,1.3074007311720257
2025-06-30,1.3457116153093553
2025-07-31,1.3745254734914463
2025-08-31,1.3872672246127078
2025-09-30,1.4994657155832776
2025-10-31,1.5151998653502907
2025-11-30,1.5084140825842238
2025-12-31,1.5044544649624345
2026-01-31,1.54232143077588
2026-02-28,1.5588907921918658
2026-03-31,1.5561841620004022
