date,CSI300,STAR50,CGB
2018-01-02,4.136,,109.52
2018-01-03,4.158,,109.564
2018-01-04,4.171,,109.584
2018-01-05,4.187,,109.593
2018-01-08,4.204,,109.656
2018-01-09,4.238,,109.677
2018-01-10,4.256,,109.669
2018-01-11,4.25,,109.571
2018-01-12,4.273,,109.667
2018-01-15,4.265,,109.542
2018-01-16,4.308,,109.545
2018-01-17,4.295,,109.531
2018-01-18,4.323,,109.414
2018-01-19,4.335,,109.557
2018-01-22,4.39,,109.645
2018-01-23,4.388,,109.686
2018-01-24,4.391,,109.815
2018-01-25,4.363,,109.908
2018-01-26,4.385,,109.937
2018-01-29,4.302,,109.992
2018-01-30,4.258,,109.986
2018-01-31,4.271,,109.845
2018-02-01,4.241,,109.868
2018-02-02,4.267,,109.92
2018-02-05,4.263,,109.996
2018-02-06,4.143,,109.982
2018-02-07,4.045,,110.047
2018-02-08,4.012,,110.039
2018-02-09,3.827,,110.389
2018-02-12,3.882,,110.514
2018-02-13,3.929,,110.512
2018-02-14,3.964,,110.52
2018-02-22,4.046,,110.369
2018-02-23,4.068,,110.328
2018-02-26,4.12,,110.373
2018-02-27,4.061,,110.494
2018-02-28,4.02,,110.646
2018-03-01,4.049,,110.9
2018-03-02,4.022,,110.976
2018-03-05,4.013,,110.995
2018-03-06,4.073,,110.999
2018-03-07,4.04,,110.937
2018-03-08,4.081,,110.97
2018-03-09,4.111,,110.861
2018-03-12,4.123,,110.843
2018-03-13,4.079,,110.813
2018-03-14,4.065,,110.764
2018-03-15,4.095,,110.779
2018-03-16,4.05,,110.815
2018-03-19,4.072,,110.852
2018-03-20,4.07,,110.829
2018-03-21,4.049,,110.831
2018-03-22,4.013,,110.832
2018-03-23,3.894,,111.05
2018-03-26,3.876,,111.497
2018-03-27,3.911,,111.339
2018-03-28,3.832,,111.288
2018-03-29,3.902,,111.009
2018-03-30,3.896,,111.213
2018-04-02,3.883,,111.194
2018-04-03,3.858,,111.306
2018-04-04,3.848,,111.334
2018-04-09,3.853,,111.492
2018-04-10,3.928,,111.506
2018-04-11,3.933,,111.517
2018-04-12,3.892,,111.586
2018-04-13,3.865,,111.776
2018-04-16,3.804,,112.086
2018-04-17,3.748,,112.004
2018-04-18,3.756,,112.494
2018-04-19,3.809,,112.264
2018-04-20,3.75,,112.115
2018-04-23,3.766,,112.105
2018-04-24,3.845,,112.252
2018-04-25,3.822,,112.344
2018-04-26,3.746,,112.311
2018-04-27,3.754,,112.359
2018-05-02,3.766,,112.275
2018-05-03,3.788,,112.428
2018-05-04,3.77,,112.301
2018-05-07,3.831,,112.302
2018-05-08,3.881,,112.202
2018-05-09,3.87,,112.007
2018-05-10,3.896,,112.011
2018-05-11,3.873,,112.083
2018-05-14,3.907,,112.089
2018-05-15,3.922,,112.066
2018-05-16,3.89,,112.087
2018-05-17,3.857,,112.044
2018-05-18,3.899,,112.047
2018-05-21,3.918,,112.063
2018-05-22,3.902,,112.116
2018-05-23,3.851,,112.214
2018-05-24,3.82,,112.295
2018-05-25,3.811,,112.493
2018-05-28,3.835,,112.31
2018-05-29,3.799,,112.172
2018-05-30,3.727,,112.138
2018-05-31,3.803,,112.149
2018-06-01,3.777,,112.189
2018-06-04,3.814,,112.273
2018-06-05,3.846,,112.154
2018-06-06,3.839,,112.147
2018-06-07,3.838,,112.118
2018-06-08,3.787,,112.131
2018-06-11,3.797,,112.245
2018-06-12,3.835,,112.08
2018-06-13,3.796,,112.093
2018-06-14,3.786,,112.097
2018-06-15,3.78,,112.156
2018-06-19,3.65,,112.418
2018-06-20,3.65,,112.403
2018-06-21,3.62,,112.34
2018-06-22,3.636,,112.416
2018-06-25,3.585,,112.562
2018-06-26,3.55,,112.604
2018-06-27,3.466,,112.547
2018-06-28,3.446,,112.239
2018-06-29,3.537,,112.856
2018-07-02,3.443,,112.842
2018-07-03,3.43,,112.773
2018-07-04,3.394,,113.0
2018-07-05,3.366,,112.996
2018-07-06,3.395,,112.991
2018-07-09,3.494,,112.935
2018-07-10,3.503,,112.841
2018-07-11,3.445,,112.806
2018-07-12,3.528,,112.773
2018-07-13,3.534,,112.898
2018-07-16,3.519,,113.097
2018-07-17,3.497,,113.243
2018-07-18,3.481,,113.281
2018-07-19,3.483,,113.398
2018-07-20,3.55,,113.35
2018-07-23,3.573,,113.459
2018-07-24,3.639,,113.212
2018-07-25,3.638,,113.225
2018-07-26,3.591,,113.41
2018-07-27,3.582,,113.239
2018-07-30,3.562,,113.31
2018-07-31,3.575,,113.418
2018-08-01,3.495,,113.71
2018-08-02,3.417,,113.797
2018-08-03,3.369,,113.893
2018-08-06,3.334,,113.97
2018-08-07,3.427,,114.035
2018-08-08,3.377,,113.92
2018-08-09,3.458,,113.777
2018-08-10,3.464,,113.65
2018-08-13,3.449,,113.51
2018-08-14,3.434,,113.758
2018-08-15,3.352,,113.421
2018-08-16,3.338,,113.382
2018-08-17,3.287,,112.513
2018-08-20,3.322,,112.679
2018-08-21,3.379,,112.684
2018-08-22,3.373,,112.737
2018-08-23,3.383,,112.851
2018-08-24,3.388,,113.014
2018-08-27,3.473,,112.978
2018-08-28,3.463,,113.136
2018-08-29,3.45,,113.29
2018-08-30,3.416,,113.281
2018-08-31,3.39,,113.459
2018-09-03,3.383,,113.31
2018-09-04,3.424,,113.141
2018-09-05,3.353,,113.278
2018-09-06,3.324,,113.233
2018-09-07,3.346,,113.142
2018-09-10,3.298,,113.16
2018-09-11,3.286,,112.951
2018-09-12,3.263,,113.132
2018-09-13,3.298,,113.103
2018-09-14,3.303,,113.082
2018-09-17,3.272,,113.083
2018-09-18,3.335,,113.05
2018-09-19,3.38,,113.088
2018-09-20,3.378,,113.124
2018-09-21,3.484,,113.26
2018-09-25,3.449,,113.258
2018-09-26,3.487,,113.375
2018-09-27,3.472,,113.428
2018-09-28,3.508,,113.728
2018-10-08,3.341,,114.0
2018-10-09,3.348,,113.995
2018-10-10,3.346,,113.546
2018-10-11,3.174,,113.938
2018-10-12,3.233,,114.067
2018-10-15,3.186,,114.199
2018-10-16,3.165,,114.189
2018-10-17,3.176,,114.25
2018-10-18,3.106,,114.48
2018-10-19,3.185,,114.513
2018-10-22,3.353,,114.328
2018-10-23,3.24,,114.354
2018-10-24,3.245,,114.375
2018-10-25,3.261,,114.298
2018-10-26,3.228,,114.296
2018-10-29,3.131,,114.308
2018-10-30,3.168,,114.267
2018-10-31,3.205,,114.305
2018-11-01,3.228,,114.39
2018-11-02,3.363,,114.171
2018-11-05,3.32,,114.331
2018-11-06,3.299,,114.445
2018-11-07,3.272,,114.62
2018-11-08,3.269,,114.766
2018-11-09,3.228,,114.701
2018-11-12,3.264,,114.932
2018-11-13,3.298,,114.826
2018-11-14,3.258,,115.037
2018-11-15,3.301,,115.429
2018-11-16,3.311,,115.548
2018-11-19,3.348,,115.505
2018-11-20,3.275,,115.265
2018-11-21,3.278,,115.329
2018-11-22,3.269,,115.26
2018-11-23,3.184,,114.691
2018-11-26,3.189,,114.685
2018-11-27,3.186,,114.718
2018-11-28,3.234,,114.722
2018-11-29,3.202,,114.725
2018-11-30,3.235,,114.755
2018-12-03,3.319,,114.84
2018-12-04,3.324,,115.175
2018-12-05,3.309,,115.441
2018-12-06,3.242,,115.697
2018-12-07,3.235,,115.651
2018-12-10,3.205,,115.832
2018-12-11,3.218,,115.988
2018-12-12,3.229,,116.007
2018-12-13,3.284,,115.819
2018-12-14,3.227,,115.665
2018-12-17,3.223,,115.76
2018-12-18,3.183,,115.85
2018-12-19,3.15,,115.995
2018-12-20,3.127,,115.804
2018-12-21,3.088,,116.047
2018-12-24,3.095,,116.031
2018-12-25,3.076,,115.982
2018-12-26,3.059,,115.969
2018-12-27,3.052,,116.008
2018-12-28,3.059,,116.593
2019-01-02,3.017,,116.267
2019-01-03,3.017,,116.32
2019-01-04,3.094,,116.527
2019-01-07,3.107,,116.638
2019-01-08,3.107,,116.622
2019-01-09,3.13,,116.624
2019-01-10,3.133,,116.617
2019-01-11,3.156,,116.571
2019-01-14,3.129,,116.47
2019-01-15,3.188,,116.504
2019-01-16,3.129,,116.599
2019-01-17,3.112,,116.671
2019-01-18,3.166,,116.603
2019-01-21,3.183,,116.48
2019-01-22,3.143,,116.515
2019-01-23,3.135,,116.488
2019-01-24,3.159,,116.525
2019-01-25,3.183,,116.521
2019-01-28,3.179,,116.498
2019-01-29,3.193,,116.57
2019-01-30,3.172,,116.654
2019-01-31,3.202,,116.724
2019-02-01,3.255,,116.83
2019-02-11,3.3,,116.942
2019-02-12,3.324,,117.009
2019-02-13,3.393,,117.032
2019-02-14,3.397,,116.944
2019-02-15,3.341,,117.068
2019-02-18,3.438,,116.939
2019-02-19,3.429,,116.883
2019-02-20,3.438,,116.923
2019-02-21,3.434,,116.881
2019-02-22,3.526,,116.806
2019-02-25,3.775,,116.56
2019-02-26,3.69,,116.256
2019-02-27,3.67,,116.599
2019-02-28,3.663,,116.444
2019-03-01,3.738,,116.422
2019-03-04,3.777,,116.363
2019-03-05,3.809,,116.312
2019-03-06,3.835,,116.238
2019-03-07,3.793,,116.357
2019-03-08,3.661,,116.488
2019-03-11,3.71,,116.393
2019-03-12,3.735,,116.43
2019-03-13,3.713,,116.443
2019-03-14,3.686,,116.367
2019-03-15,3.735,,116.366
2019-03-18,3.85,,116.353
2019-03-19,3.822,,116.363
2019-03-20,3.822,,116.394
2019-03-21,3.824,,116.399
2019-03-22,3.829,,116.484
2019-03-25,3.734,,116.693
2019-03-26,3.695,,116.856
2019-03-27,3.727,,116.768
2019-03-28,3.717,,116.876
2019-03-29,3.869,,116.862
2019-04-01,3.969,,116.739
2019-04-02,3.962,,116.721
2019-04-03,4.015,,116.456
2019-04-04,4.062,,116.424
2019-04-08,4.036,,116.134
2019-04-09,4.06,,116.142
2019-04-10,4.066,,115.776
2019-04-11,3.996,,116.177
2019-04-12,3.982,,116.061
2019-04-15,3.957,,115.873
2019-04-16,4.077,,115.785
2019-04-17,4.067,,115.857
2019-04-18,4.06,,115.859
2019-04-19,4.12,,115.958
2019-04-22,4.017,,116.027
2019-04-23,4.01,,115.929
2019-04-24,4.016,,115.787
2019-04-25,3.933,,115.916
2019-04-26,3.879,,116.007
2019-04-29,3.894,,115.839
2019-04-30,3.896,,116.084
2019-05-06,3.673,,116.1
2019-05-07,3.707,,116.343
2019-05-08,3.659,,116.337
2019-05-09,3.607,,116.38
2019-05-10,3.72,,116.385
2019-05-13,3.652,,116.485
2019-05-14,3.634,,116.387
2019-05-15,3.712,,116.382
2019-05-16,3.73,,116.421
2019-05-17,3.646,,116.583
2019-05-20,3.606,,116.576
2019-05-21,3.651,,116.485
2019-05-22,3.642,,116.458
2019-05-23,3.584,,116.575
2019-05-24,3.59,,116.661
2019-05-27,3.633,,116.454
2019-05-28,3.65,,116.612
2019-05-29,3.652,,116.696
2019-05-30,3.65,,116.82
2019-05-31,3.632,,116.956
2019-06-03,3.64,,116.996
2019-06-04,3.607,,117.001
2019-06-05,3.599,,117.056
2019-06-06,3.568,,116.992
2019-06-10,3.614,,116.928
2019-06-11,3.727,,116.732
2019-06-12,3.699,,116.794
2019-06-13,3.692,,116.794
2019-06-14,3.67,,116.944
2019-06-17,3.673,,117.003
2019-06-18,3.681,,117.029
2019-06-19,3.735,,117.061
2019-06-20,3.843,,117.09
2019-06-21,3.85,,117.203
2019-06-24,3.856,,117.157
2019-06-25,3.817,,117.189
2019-06-26,3.818,,117.175
2019-06-27,3.86,,117.147
2019-06-28,3.859,,117.163
2019-07-01,3.954,,117.184
2019-07-02,3.96,,117.319
2019-07-03,3.927,,117.699
2019-07-04,3.901,,117.55
2019-07-05,3.921,,117.527
2019-07-08,3.831,,117.513
2019-07-09,3.822,,117.58
2019-07-10,3.823,,117.511
2019-07-11,3.824,,117.514
2019-07-12,3.855,,117.513
2019-07-15,3.869,,117.553
2019-07-16,3.853,,117.556
2019-07-17,3.847,,117.555
2019-07-18,3.822,,117.602
2019-07-19,3.862,,117.637
2019-07-22,3.832,,117.642
2019-07-23,3.841,,117.682
2019-07-24,3.872,,117.67
2019-07-25,3.907,,117.641
2019-07-26,3.912,,117.661
2019-07-29,3.906,,117.647
2019-07-30,3.924,,117.641
2019-07-31,3.896,,117.69
2019-08-01,3.86,,117.756
2019-08-02,3.801,,117.94
2019-08-05,3.735,,118.29
2019-08-06,3.696,,118.494
2019-08-07,3.672,,118.132
2019-08-08,3.726,,118.146
2019-08-09,3.697,,118.427
2019-08-12,3.756,,118.64
2019-08-13,3.724,,118.629
2019-08-14,3.738,,118.51
2019-08-15,3.753,,118.526
2019-08-16,3.769,,118.428
2019-08-19,3.859,,118.232
2019-08-20,3.843,,118.22
2019-08-21,3.842,,118.265
2019-08-22,3.85,,118.233
2019-08-23,3.877,,118.027
2019-08-26,3.834,,118.258
2019-08-27,3.874,,118.22
2019-08-28,3.862,,118.24
2019-08-29,3.851,,118.27
2019-08-30,3.861,,118.191
2019-09-02,3.904,,118.149
2019-09-03,3.908,,118.047
2019-09-04,3.957,,118.051
2019-09-05,3.994,,118.16
2019-09-06,4.021,,118.541
2019-09-09,4.037,,118.431
2019-09-10,4.026,,118.382
2019-09-11,3.997,,118.321
2019-09-12,4.038,,118.199
2019-09-16,4.024,,118.184
2019-09-17,3.951,,118.232
2019-09-18,3.968,,118.186
2019-09-19,3.987,,118.21
2019-09-20,3.993,,118.268
2019-09-23,3.958,,118.329
2019-09-24,3.961,,118.28
