,growth_score_us,inflation_score_us,growth_score_cn,inflation_score_cn,regional_regime_us,regional_regime_cn,portfolio_regime,regime_confidence,state_id,state_label,model_name
1986-02-28,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-03-31,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-04-30,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-05-31,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-06-30,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-07-31,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-08-31,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-09-30,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-10-31,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-11-30,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1986-12-31,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1987-01-31,0.0,0.0,0.0,0.0,growth_up_inflation_up,growth_up_inflation_up,reflation,0.0,2,reflation,rule_based
1987-02-28,0.0,0.0,0.0,-3.328201177351376,growth_up_inflation_up,growth_up_inflation_up,reflation,0.416025147168922,2,reflation,rule_based
1987-03-31,0.0,0.0,0.0,-2.128958707653823,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.2661198384567279,1,global_easing_growth,rule_based
1987-04-30,0.0,0.0,0.0,-1.3756153469523429,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.17195191836904286,1,global_easing_growth,rule_based
1987-05-31,0.0,0.0,0.0,-0.0920345859786573,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.011504323247332162,1,global_easing_growth,rule_based
1987-06-30,0.0,0.0,0.0,1.1453775899088838,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.14317219873861048,1,global_easing_growth,rule_based
1987-07-31,0.0,0.0,0.0,1.3199326582148894,growth_up_inflation_up,growth_up_inflation_up,reflation,0.16499158227686117,2,reflation,rule_based
1987-08-31,0.0,0.0,0.0,1.2284610329702923,growth_up_inflation_up,growth_up_inflation_up,reflation,0.15355762912128654,2,reflation,rule_based
1987-09-30,0.0,0.0,0.0,1.6113237738196464,growth_up_inflation_up,growth_up_inflation_up,reflation,0.2014154717274558,2,reflation,rule_based
1987-10-31,0.0,0.0,0.0,0.908820373961557,growth_up_inflation_up,growth_up_inflation_up,reflation,0.11360254674519463,2,reflation,rule_based
1987-11-30,0.0,0.0,0.0,0.623525222414177,growth_up_inflation_up,growth_up_inflation_up,reflation,0.07794065280177212,2,reflation,rule_based
1987-12-31,0.0,0.0,0.0,1.5640814304225574,growth_up_inflation_up,growth_up_inflation_up,reflation,0.19551017880281968,2,reflation,rule_based
1988-01-31,0.0,0.0,0.0,2.060666670156776,growth_up_inflation_up,growth_up_inflation_up,reflation,0.257583333769597,2,reflation,rule_based
1988-02-29,0.0,0.0,0.0,2.208286810170402,growth_up_inflation_up,growth_up_inflation_up,reflation,0.27603585127130026,2,reflation,rule_based
1988-03-31,0.0,0.0,0.0,2.7553414720098384,growth_up_inflation_up,growth_up_inflation_up,reflation,0.3444176840012298,2,reflation,rule_based
1988-04-30,0.0,0.0,0.0,2.873705993493477,growth_up_inflation_up,growth_up_inflation_up,reflation,0.3592132491866846,2,reflation,rule_based
1988-05-31,0.0,0.0,0.0,2.8839779287629743,growth_up_inflation_up,growth_up_inflation_up,reflation,0.3604972410953718,2,reflation,rule_based
1988-06-30,0.0,0.0,0.0,3.2155597950869033,growth_up_inflation_up,growth_up_inflation_up,reflation,0.4019449743858629,2,reflation,rule_based
1988-07-31,0.0,0.0,0.0,3.2998462643354447,growth_up_inflation_up,growth_up_inflation_up,reflation,0.4124807830419306,2,reflation,rule_based
1988-08-31,0.0,0.0,0.0,3.412414786520592,growth_up_inflation_up,growth_up_inflation_up,reflation,0.426551848315074,2,reflation,rule_based
1988-09-30,0.0,0.0,0.0,3.5885235225426095,growth_up_inflation_up,growth_up_inflation_up,reflation,0.4485654403178262,2,reflation,rule_based
1988-10-31,0.0,0.0,0.0,3.360818293221499,growth_up_inflation_up,growth_up_inflation_up,reflation,0.4201022866526874,2,reflation,rule_based
1988-11-30,0.0,0.0,0.0,2.945862995132082,growth_up_inflation_up,growth_up_inflation_up,reflation,0.36823287439151026,2,reflation,rule_based
1988-12-31,0.0,0.0,0.0,2.5558682457540822,growth_up_inflation_up,growth_up_inflation_up,reflation,0.3194835307192603,2,reflation,rule_based
1989-01-31,0.0,0.0,0.0,2.4440337899476368,growth_up_inflation_up,growth_up_inflation_up,reflation,0.3055042237434546,2,reflation,rule_based
1989-02-28,0.0,0.0,0.0,2.1404215971847793,growth_up_inflation_up,growth_up_inflation_up,reflation,0.2675526996480974,2,reflation,rule_based
1989-03-31,0.0,0.0,0.0,2.0647356966194876,growth_up_inflation_up,growth_up_inflation_up,reflation,0.25809196207743595,2,reflation,rule_based
1989-04-30,0.0,0.0,0.0,1.754700444963624,growth_up_inflation_up,growth_up_inflation_up,reflation,0.219337555620453,2,reflation,rule_based
1989-05-31,0.0,0.0,0.0,1.5778312776319334,growth_up_inflation_up,growth_up_inflation_up,reflation,0.19722890970399168,2,reflation,rule_based
1989-06-30,0.0,0.0,0.0,1.2953344742855513,growth_up_inflation_up,growth_up_inflation_up,reflation,0.1619168092856939,2,reflation,rule_based
1989-07-31,0.0,0.0,0.0,0.9944526724930048,growth_up_inflation_up,growth_up_inflation_up,reflation,0.1243065840616256,2,reflation,rule_based
1989-08-31,0.0,0.0,0.0,0.5646399590739831,growth_up_inflation_up,growth_up_inflation_up,reflation,0.07057999488424789,2,reflation,rule_based
1989-09-30,0.0,0.0,0.0,0.0620576189083668,growth_up_inflation_up,growth_up_inflation_up,reflation,0.00775720236354585,2,reflation,rule_based
1989-10-31,0.0,0.0,0.0,-0.4030233484238371,growth_up_inflation_up,growth_up_inflation_up,reflation,0.050377918552979635,2,reflation,rule_based
1989-11-30,0.0,0.0,0.0,-0.7555201145665303,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.09444001432081629,1,global_easing_growth,rule_based
1989-12-31,0.0,0.0,0.0,-0.9004465183639476,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.11255581479549345,1,global_easing_growth,rule_based
1990-01-31,0.0,0.0,0.0,-0.9926383146204814,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.12407978932756017,1,global_easing_growth,rule_based
1990-02-28,0.0,0.0,0.0,-1.2598784113739294,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.15748480142174118,1,global_easing_growth,rule_based
1990-03-31,0.0,0.0,0.0,-1.2397199639026326,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.15496499548782908,1,global_easing_growth,rule_based
1990-04-30,0.0,0.0,0.0,-1.3370403755341185,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1671300469417648,1,global_easing_growth,rule_based
1990-05-31,0.0,0.0,0.0,-1.3312686674297902,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.16640858342872378,1,global_easing_growth,rule_based
1990-06-30,0.0,0.0,0.0,-1.349561224890914,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.16869515311136424,1,global_easing_growth,rule_based
1990-07-31,0.0,0.0,0.0,-1.4740651162341556,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.18425813952926945,1,global_easing_growth,rule_based
1990-08-31,0.0,0.0,0.0,-1.4208607974315393,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1776075996789424,1,global_easing_growth,rule_based
1990-09-30,0.0,0.0,0.0,-1.2314320615837695,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1539290076979712,1,global_easing_growth,rule_based
1990-10-31,0.0,0.0,0.0,-1.1589852011490744,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1448731501436343,1,global_easing_growth,rule_based
1990-11-30,0.0,0.0,0.0,-1.111928099872692,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1389910124840865,1,global_easing_growth,rule_based
1990-12-31,0.0,0.0,0.0,-1.0250617065484928,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1281327133185616,1,global_easing_growth,rule_based
1991-01-31,0.0,0.0,0.0,-0.9410926094114808,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1176365761764351,1,global_easing_growth,rule_based
1991-02-28,0.0,0.0,2.477162942936372,-1.1169774066874818,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.4492675437029817,1,global_easing_growth,rule_based
1991-03-31,0.0,0.0,0.2661584111658361,-1.113709731961055,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1724835178908614,1,global_easing_growth,rule_based
1991-04-30,0.0,0.0,0.5146902210633609,-1.0879503908111063,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.2003300764843084,1,global_easing_growth,rule_based
1991-05-31,0.0,0.0,0.4938373311957365,-1.0693098391663154,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.19539339629525648,1,global_easing_growth,rule_based
1991-06-30,0.0,0.0,0.4753562763063618,-0.8145283340095008,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.16123557628948282,1,global_easing_growth,rule_based
1991-07-31,0.0,0.0,0.174288484508563,-0.7042423536670824,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.10981635477195567,1,global_easing_growth,rule_based
1991-08-31,0.0,0.0,0.463717576614768,-0.6388741810008193,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1378239697019484,1,global_easing_growth,rule_based
1991-09-30,0.0,0.0,0.6066953789449038,-0.5795799035671855,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.14828441031401116,1,global_easing_growth,rule_based
1991-10-31,0.0,0.0,0.727369956357553,-0.575543731584925,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.16286421099280973,1,global_easing_growth,rule_based
1991-11-30,0.0,0.0,0.5580422945233099,-0.5039426417683116,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.13274811703645267,1,global_easing_growth,rule_based
1991-12-31,0.0,0.0,-0.2456127374917245,-0.5022404705466771,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.0934816510048002,1,global_easing_growth,rule_based
1992-01-31,0.0,0.0,-0.732912781267773,-0.4483408460126492,growth_up_inflation_up,growth_down_inflation_down,disinflationary_slowdown,0.14765670341005277,0,disinflationary_slowdown,rule_based
1992-02-29,0.0,0.0,0.4319426721933468,-0.2867781788865221,growth_up_inflation_up,growth_down_inflation_down,disinflationary_slowdown,0.0898401063849836,0,disinflationary_slowdown,rule_based
1992-03-31,0.0,0.0,1.7951030270693409,-0.2576279881565443,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.25659137690323564,1,global_easing_growth,rule_based
1992-04-30,0.0,0.0,1.3825328861560424,-0.1984448604873805,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.19762221833042787,1,global_easing_growth,rule_based
1992-05-31,0.0,0.0,1.021527172087381,0.1762922817673724,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1497274317318442,1,global_easing_growth,rule_based
1992-06-30,0.0,0.0,0.8443077103305482,-0.1731805468800318,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1271860321513225,1,global_easing_growth,rule_based
1992-07-31,0.0,0.0,1.2559670272351244,-0.0602947289206604,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.1645327195194731,1,global_easing_growth,rule_based
1992-08-31,0.0,0.0,1.613870568548016,0.2030859126061284,growth_up_inflation_up,growth_up_inflation_down,global_easing_growth,0.22711956014426804,1,global_easing_growth,rule_based
1992-09-30,0.0,0.0,1.2507557279765824,0.669961686513108,growth_up_inflation_up,growth_up_inflation_up,reflation,0.2400896768112113,2,reflation,rule_based
1992-10-31,0.0,0.0,1.2017190433770448,1.7618516280229517,growth_up_inflation_up,growth_up_inflation_up,reflation,0.3704463339249996,2,reflation,rule_based
1992-11-30,0.0,0.0,1.3040292449588795,2.0383443295973116,growth_up_inflation_up,growth_up_inflation_up,reflation,0.4177966968195239,2,reflation,rule_based
1992-12-31,0.0,0.0,1.763103492734262,2.139760220403242,growth_up_inflation_up,growth_up_inflation_up,reflation,0.487857964142188,2,reflation,rule_based
1993-01-31,0.0,0.0,2.360596724273764,2.291797041746782,growth_up_inflation_up,growth_up_inflation_up,reflation,0.5815492207525683,2,reflation,rule_based
1993-02-28,0.0,0.0,-0.5259376688388138,2.649386494993582,growth_up_inflation_up,growth_up_inflation_up,reflation,0.39691552047904943,2,reflation,rule_based
1993-03-31,0.0,0.0,2.2733498313599947,2.5215424801843445,growth_up_inflation_up,growth_up_inflation_up,reflation,0.5993615389430424,2,reflation,rule_based
1993-04-30,0.0,0.0,1.336746020665755,2.673729627864595,growth_up_inflation_up,growth_up_inflation_up,reflation,0.5013094560662937,2,reflation,rule_based
1993-05-31,0.0,0.0,1.162601717801397,2.4804120702462655,growth_up_inflation_up,growth_up_inflation_up,reflation,0.4553767235059578,2,reflation,rule_based
1993-06-30,0.0,0.0,1.3554082376591072,2.5764854555664307,growth_up_inflation_up,growth_up_inflation_up,reflation,0.49148671165319224,2,reflation,rule_based
1993-07-31,0.0,0.0,1.639502370436675,2.572783353210749,growth_up_inflation_up,growth_up_inflation_up,reflation,0.526535715455928,2,reflation,rule_based
1993-08-31,0.0,0.0,0.9497008428978164,2.551507517198075,growth_up_inflation_up,growth_up_inflation_up,reflation,0.43765104501198643,2,reflation,rule_based
1993-09-30,0.0,0.0,0.6347852939264075,2.328350937349106,growth_up_inflation_up,growth_up_inflation_up,reflation,0.3703920289094392,2,reflation,rule_based
1993-10-31,0.0,0.0,0.0403741648453488,1.9766813699390609,growth_up_inflation_up,growth_up_inflation_up,reflation,0.2521319418480512,2,reflation,rule_based
1993-11-30,0.0,0.0,-0.4248561736317947,1.8618221213208732,growth_up_inflation_up,growth_up_inflation_up,reflation,0.2858347868690835,2,reflation,rule_based
1993-12-31,0.0,0.0,0.012168123303244,1.8722491521592013,growth_up_inflation_up,growth_up_inflation_up,reflation,0.23555215943280566,2,reflation,rule_based
1994-01-31,0.0,0.0,1.5167290932780102,2.0948134841795025,growth_up_inflation_up,growth_up_inflation_up,reflation,0.4514428221821891,2,reflation,rule_based
1994-02-28,0.0,0.0,1.8630705304861952,2.293855530910722,growth_up_inflation_up,growth_up_inflation_up,reflation,0.5196157576746147,2,reflation,rule_based
1994-03-31,0.0,0.0,-2.026397772939716,2.401430513818869,growth_up_inflation_up,growth_up_inflation_up,reflation,0.5534785358448231,2,reflation,rule_based
1994-04-30,0.0,0.0,-0.0602671745132063,2.0762590019512697,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.2670657720580595,3,stagflation_pressure,rule_based
1994-05-31,0.0,0.0,0.0416814238338834,1.827289126584413,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.23362131880228704,3,stagflation_pressure,rule_based
1994-06-30,0.0,0.0,0.1424337144771716,1.644354860687747,growth_up_inflation_up,growth_up_inflation_up,reflation,0.22334857189561483,2,reflation,rule_based
1994-07-31,0.0,0.0,-0.2989069024868788,1.718505449731056,growth_up_inflation_up,growth_up_inflation_up,reflation,0.2521765440272418,2,reflation,rule_based
1994-08-31,0.0,0.0,-0.3226557851005189,1.7901072927977957,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.26409538473728933,3,stagflation_pressure,rule_based
1994-09-30,0.0,0.0,1.9221260505880229,1.895128669053389,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.4771568399551765,3,stagflation_pressure,rule_based
1994-10-31,0.0,0.0,0.6554800726175336,1.9416797925052904,growth_up_inflation_up,growth_up_inflation_up,reflation,0.324644983140353,2,reflation,rule_based
1994-11-30,0.0,0.0,1.0182310145361315,1.8471746234479465,growth_up_inflation_up,growth_up_inflation_up,reflation,0.35817570474800975,2,reflation,rule_based
1994-12-31,0.0,0.0,0.8290675668716979,1.6994711164388017,growth_up_inflation_up,growth_up_inflation_up,reflation,0.31606733541381243,2,reflation,rule_based
1995-01-31,0.0,0.0,-0.0761474084927745,1.359584803257632,growth_up_inflation_up,growth_up_inflation_up,reflation,0.17946652646880082,2,reflation,rule_based
1995-02-28,0.0,0.0,-1.3726626614546986,1.1156523351670231,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.31103937457771524,3,stagflation_pressure,rule_based
1995-03-31,0.0,0.0,-0.6071499845754378,0.8457793689730138,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.18161616919355644,3,stagflation_pressure,rule_based
1995-04-30,0.0,0.0,-0.4416493374573835,0.6568224018066985,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.13730896740801024,3,stagflation_pressure,rule_based
1995-05-31,0.0,0.0,-0.6248760743046704,0.5347342778962729,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.14495129402511792,3,stagflation_pressure,rule_based
1995-06-30,0.0,0.0,-1.0298182608244335,0.4366749273341718,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.18331164851982568,3,stagflation_pressure,rule_based
1995-07-31,0.0,0.0,-0.8631974814614941,0.084219595191469,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.1184271345816204,3,stagflation_pressure,rule_based
1995-08-31,0.0,0.0,-0.8784968723051397,-0.202358767308964,growth_up_inflation_up,growth_down_inflation_up,stagflation_pressure,0.13510695495176298,3,stagflation_pressure,rule_based
1995-09-30,0.0,0.0,-1.145649314354495,-0.6257714124954392,growth_up_inflation_up,growth_down_inflation_down,disinflationary_slowdown,0.22142759085624178,0,disinflationary_slowdown,rule_based
1995-10-31,0.0,0.0,-1.1617053267208268,-0.9060756823520236,growth_up_inflation_up,growth_down_inflation_down,disinflationary_slowdown,0.2584726261341063,0,disinflationary_slowdown,rule_based
1995-11-30,0.0,0.0,-0.8707529346620808,-1.156107860951911,growth_up_inflation_up,growth_down_inflation_down,disinflationary_slowdown,0.25335759945174896,0,disinflationary_slowdown,rule_based
