日期,pmi,cpi,ppi,m2,industrial,gdp
1986-02-28,,7.1,,,,
1986-03-31,,7.1,,,,
1986-04-30,,7.1,,,,
1986-05-31,,7.1,,,,
1986-06-30,,7.1,,,,
1986-07-31,,7.1,,,,
1986-08-31,,7.1,,,,
1986-09-30,,7.1,,,,
1986-10-31,,7.1,,,,
1986-11-30,,7.1,,,,
1986-12-31,,7.1,,,,
1987-01-31,,7.1,,,,
1987-02-28,,5.1,,,,
1987-03-31,,5.4,,,,
1987-04-30,,5.8,,,,
1987-05-31,,6.7,,,,
1987-06-30,,7.6,,,,
1987-07-31,,7.8,,,,
1987-08-31,,7.8,,,,
1987-09-30,,8.2,,,,
1987-10-31,,7.7,,,,
1987-11-30,,7.5,,,,
1987-12-31,,8.3,,,,
1988-01-31,,8.9,,,,
1988-02-29,,9.3,,,,
1988-03-31,,10.4,,,,
1988-04-30,,11.3,,,,
1988-05-31,,12.2,,,,
1988-06-30,,14.2,,,,
1988-07-31,,16.3,,,,
1988-08-31,,19.2,,,,
1988-09-30,,23.6,,,,
1988-10-31,,26.4,,,,
1988-11-30,,27.1,,,,
1988-12-31,,26.8,,,,
1989-01-31,,27.9,,,,
1989-02-28,,27.4,,,,
1989-03-31,,28.4,,,,
1989-04-30,,27.1,,,,
1989-05-31,,26.6,,,,
1989-06-30,,24.9,,,,
1989-07-31,,22.8,,,,
1989-08-31,,19.4,,,,
1989-09-30,,15.3,,,,
1989-10-31,,11.5,,,,
1989-11-30,,8.6,,,,
1989-12-31,,7.4,,,,
1990-01-31,,6.6,,,,
1990-02-28,,4.3,,,,
1990-03-31,,4.4,,,5.0,
1990-04-30,,3.4,,,0.8,
1990-05-31,,3.2,,,1.7,
1990-06-30,,2.7,,,3.3,
1990-07-31,,1.1,,,5.0,
1990-08-31,,1.1,,,2.5,
1990-09-30,,2.5,,,4.2,
1990-10-31,,2.9,,,6.7,
1990-11-30,,3.1,,,10.9,
1990-12-31,,3.7,,,12.6,
1991-01-31,,4.3,,,12.6,
1991-02-28,,2.2,,,23.5,
1991-03-31,,1.8,,,9.2,
1991-04-30,,1.6,,,10.9,
1991-05-31,,1.3,,,10.9,
1991-06-30,,3.6,,,10.9,
1991-07-31,,4.4,,,9.2,
1991-08-31,,4.7,,,10.9,
1991-09-30,,4.9,,,11.8,
1991-10-31,,4.5,,,12.6,
1991-11-30,,4.8,,,11.8,
1991-12-31,,4.4,,,7.6,
1992-01-31,,4.5,,,5.0,
1992-02-29,,5.5,,,10.9,
1992-03-31,,5.3,,,18.5,
1992-04-30,,5.3,,,16.8,
1992-05-31,,7.1,,,15.1,
1992-06-30,,4.7,,,14.3,
1992-07-31,,4.8,,,16.8,
1992-08-31,,5.2,,,19.3,
1992-09-30,,5.8,,,17.6,
1992-10-31,,7.5,,,17.6,
1992-11-30,,7.9,,,18.5,
1992-12-31,,8.2,,,21.8,
1993-01-31,,8.8,,,26.9,
1993-02-28,,10.3,,,8.4,
1993-03-31,,10.8,,,27.7,
1993-04-30,,12.2,,,21.8,
1993-05-31,,12.6,,,21.0,
1993-06-30,,14.0,,,22.7,
1993-07-31,,15.1,,,25.2,
1993-08-31,,16.2,,,21.0,
1993-09-30,,16.4,,,19.3,
1993-10-31,,15.7,,,16.0,
1993-11-30,,15.9,,,13.4,
1993-12-31,,16.7,,,16.0,
1994-01-31,,18.8,,,25.2,
1994-02-28,,21.1,,,27.7,
1994-03-31,,23.2,,,3.4,
1994-04-30,,22.4,,,16.0,
1994-05-31,,21.7,,,16.8,
1994-06-30,,21.3,,,17.6,
1994-07-31,,22.6,,,15.1,
1994-08-31,,24.0,,,15.1,
1994-09-30,,25.8,,,29.4,
1994-10-31,,27.3,,,21.8,
1994-11-30,,27.7,,,24.4,
1994-12-31,,27.5,,,23.5,
1995-01-31,,25.5,,,18.5,
1995-02-28,,24.1,,,11.4,
1995-03-31,,22.4,,,15.5,
1995-04-30,,21.3,,,16.4,
1995-05-31,,20.7,,,15.4,
1995-06-30,,20.3,,,13.1,
1995-07-31,,18.2,,,13.9,
1995-08-31,,16.7,13.5,,13.6,
1995-09-30,,14.5,13.0,,11.8,
1995-10-31,,13.2,12.9,,11.4,
1995-11-30,,12.1,12.5,,12.9,
1995-12-31,,11.2,11.1,,12.1,
1996-01-31,,10.1,8.8,,14.9,
1996-02-29,,9.0,8.4,,16.9,
1996-03-31,,9.3,7.1,,12.2,
1996-04-30,,9.8,4.3,,12.2,
1996-05-31,,9.7,3.0,,13.7,
1996-06-30,,8.9,2.7,,13.1,
1996-07-31,,8.6,2.3,,13.8,
1996-08-31,,8.3,1.7,,12.2,
1996-09-30,,8.1,1.5,,10.6,
1996-10-31,,7.4,0.8,,13.7,
1996-11-30,,7.0,0.3,,13.3,
1996-12-31,,6.9,0.0,,13.4,
1997-01-31,,7.0,0.4,,14.0,
1997-02-28,,5.9,0.1,,10.3,
1997-03-31,,5.6,0.4,,10.4,
1997-04-30,,4.0,0.5,,13.5,
1997-05-31,,3.2,0.1,,11.9,
1997-06-30,,2.8,0.1,,11.9,
1997-07-31,,2.8,-0.4,,12.1,
1997-08-31,,2.7,-0.6,,8.4,
1997-09-30,,1.9,-0.9,,10.9,
1997-10-31,,1.8,-1.0,,11.1,
1997-11-30,,1.5,-0.9,,11.8,
1997-12-31,,1.1,-0.6,,11.6,
1998-01-31,,0.4,-0.9,,9.2,
1998-02-28,,0.3,-1.3,17.4,1.8,
1998-03-31,,-0.1,-2.6,16.7,9.5,
1998-04-30,,0.7,-3.2,15.4,9.0,
1998-05-31,,-0.3,-3.7,14.6,7.2,
1998-06-30,,-1.0,-4.5,15.5,8.0,
1998-07-31,,-1.3,-4.9,14.6,7.9,
1998-08-31,,-1.4,-5.0,15.5,7.6,
1998-09-30,,-1.4,-5.5,15.0,7.9,
1998-10-31,,-1.5,-4.2,16.0,10.2,
1998-11-30,,-1.1,-5.4,16.3,10.6,
1998-12-31,,-1.2,-5.7,16.7,11.0,
1999-01-31,,-1.0,-5.4,14.8,11.5,
1999-02-28,,-1.2,-4.9,14.4,17.9,
1999-03-31,,-1.3,-4.9,17.1,2.1,
1999-04-30,,-1.8,-4.6,17.8,9.0,
1999-05-31,,-2.2,-3.9,17.9,9.1,
1999-06-30,,-2.2,-3.4,17.2,8.9,
1999-07-31,,-2.1,-3.6,17.7,9.1,
1999-08-31,,-1.4,-2.5,15.7,9.3,
1999-09-30,,-1.3,-2.3,16.0,9.5,
1999-10-31,,-0.8,-2.1,15.3,8.2,
1999-11-30,,-0.6,-0.7,14.5,7.0,
1999-12-31,,-0.9,-1.0,14.0,7.6,
2000-01-31,,-1.0,-0.8,14.7,7.4,
2000-02-29,,-0.2,0.0,14.3,8.9,
2000-03-31,,0.7,1.0,13.5,12.0,
2000-04-30,,-0.2,1.9,13.4,11.9,
2000-05-31,,-0.3,2.6,14.5,11.4,
2000-06-30,,0.1,2.5,14.0,11.5,
2000-07-31,,0.5,3.0,14.4,12.2,
2000-08-31,,0.5,4.5,15.6,12.8,
2000-09-30,,0.3,3.9,14.8,12.8,
2000-10-31,,0.0,3.7,15.3,12.0,
2000-11-30,,0.0,3.6,14.2,11.4,
2000-12-31,,1.3,3.5,15.2,10.6,
2001-01-31,,1.5,2.8,14.0,10.4,
2001-02-28,,1.2,1.4,15.2,2.3,
2001-03-31,,0.0,0.9,15.2,19.0,
2001-04-30,,0.8,0.2,14.8,12.1,
2001-05-31,,1.6,-0.1,13.9,11.5,
2001-06-30,,1.7,-0.2,14.5,10.2,
2001-07-31,,1.4,-0.6,14.3,10.1,
2001-08-31,,1.5,-1.3,13.5,8.1,
2001-09-30,,1.0,-2.0,13.6,8.1,
2001-10-31,,-0.1,-2.9,13.6,9.5,
2001-11-30,,0.2,-3.1,12.9,8.8,
2001-12-31,,-0.3,-3.7,13.2,7.9,
2002-01-31,,-0.3,-4.0,14.4,8.7,
2002-02-28,,-1.0,-4.2,13.0,18.6,
2002-03-31,,0.0,-4.2,13.0,2.7,
2002-04-30,,-0.8,-4.0,14.4,10.9,
2002-05-31,,-1.3,-3.1,14.1,12.1,
2002-06-30,,-1.1,-2.6,14.0,12.9,
2002-07-31,,-0.8,-2.5,14.7,12.4,
2002-08-31,,-0.9,-2.3,14.4,12.8,
2002-09-30,,-0.7,-1.7,15.5,12.7,
2002-10-31,,-0.7,-1.4,16.5,13.8,
2002-11-30,,-0.8,-1.0,17.0,14.2,
2002-12-31,,-0.7,-0.4,16.6,14.5,
2003-01-31,,-0.4,0.4,16.8,14.9,
2003-02-28,,0.4,2.4,19.3,14.8,
2003-03-31,,0.2,3.9,18.1,19.8,
2003-04-30,,0.9,4.6,18.5,16.9,
2003-05-31,,1.0,3.6,19.2,14.9,
2003-06-30,,0.7,2.0,20.2,13.7,
2003-07-31,,0.3,1.3,20.8,16.9,
2003-08-31,,0.5,1.4,20.7,16.5,
2003-09-30,,0.9,1.4,21.6,17.1,
2003-10-31,,1.1,1.4,20.7,16.3,
2003-11-30,,1.8,1.2,21.0,17.2,
2003-12-31,,3.0,1.9,20.4,17.9,
2004-01-31,,3.2,3.0,19.6,18.1,
2004-02-29,,3.2,3.5,18.1,7.2,
2004-03-31,,2.1,3.5,19.4,23.2,
2004-04-30,,3.0,3.9,19.1,19.4,
2004-05-31,,3.8,5.0,19.1,19.1,
2004-06-30,,4.4,5.7,17.5,17.5,
2004-07-31,,5.0,6.4,16.2,16.2,
2004-08-31,,5.3,6.4,15.3,15.5,
2004-09-30,,5.3,6.8,13.6,15.9,
2004-10-31,,5.2,7.9,13.9,16.1,
2004-11-30,,4.3,8.4,13.4,15.7,
2004-12-31,,2.9,8.1,14.0,14.8,
2005-01-31,,2.4,7.1,14.6,14.4,
2005-02-28,54.7,1.9,5.8,14.1,20.9,
2005-03-31,54.5,4.0,5.4,13.9,7.6,
2005-04-30,57.9,2.7,5.6,14.0,15.1,
2005-05-31,56.7,1.8,5.8,14.1,16.0,
2005-06-30,52.9,1.8,5.9,14.6,16.6,
2005-07-31,51.7,1.6,5.2,15.7,16.8,
2005-08-31,51.1,1.8,5.2,16.3,16.1,
2005-09-30,52.6,1.3,5.3,17.3,16.0,
2005-10-31,55.1,0.9,4.5,17.9,16.5,
2005-11-30,54.1,1.2,4.0,18.0,16.1,
2005-12-31,54.1,1.3,3.2,18.3,16.6,
2006-01-31,54.3,1.6,3.2,17.6,16.5,
2006-02-28,52.1,1.9,3.0,19.2,,
2006-03-31,52.1,0.9,3.0,18.8,20.1,
2006-04-30,55.3,0.8,2.5,18.8,17.8,
2006-05-31,58.1,1.2,1.9,18.9,16.6,
2006-06-30,54.8,1.4,2.4,19.0,17.9,
2006-07-31,54.1,1.5,3.5,18.4,19.5,
2006-08-31,52.4,1.0,3.6,18.4,16.7,
2006-09-30,53.1,1.3,3.4,17.9,15.7,
2006-10-31,57.0,1.5,3.4,16.8,16.1,
2006-11-30,54.7,1.4,2.9,17.1,14.7,
2006-12-31,55.3,1.9,2.8,16.8,14.9,
2007-01-31,54.8,2.8,3.0,16.9,14.7,
2007-02-28,55.1,2.2,3.3,15.8,,
2007-03-31,53.1,2.7,2.6,17.8,12.6,
2007-04-30,56.1,3.3,2.6,17.3,17.6,
2007-05-31,58.6,3.0,2.9,17.1,17.4,
2007-06-30,55.7,3.4,2.8,16.7,18.1,
2007-07-31,54.5,4.4,2.5,17.1,19.4,
2007-08-31,53.3,5.6,2.4,18.5,18.0,
2007-09-30,54.0,6.5,2.6,18.1,17.5,
2007-10-31,56.1,6.2,2.7,18.4,18.9,
2007-11-30,53.2,6.5,3.2,18.5,17.9,
2007-12-31,55.4,6.9,4.6,18.4,17.3,
2008-01-31,55.3,6.5,5.4,16.7,17.4,
2008-02-29,53.0,7.1,6.1,18.9,,
2008-03-31,53.4,8.7,6.6,17.5,15.4,
2008-04-30,58.4,8.3,8.0,16.3,17.8,
2008-05-31,59.2,8.5,8.1,16.9,15.7,
2008-06-30,53.3,7.7,8.2,18.1,16.0,
2008-07-31,52.0,7.1,8.8,17.4,16.0,
2008-08-31,48.4,6.3,10.0,16.4,14.7,
2008-09-30,48.4,4.9,10.1,16.0,12.8,
2008-10-31,51.2,4.6,9.1,15.3,11.4,
2008-11-30,44.6,4.0,6.6,15.0,8.2,
2008-12-31,38.8,2.4,2.0,14.8,5.4,
2009-01-31,41.2,1.2,-1.1,17.8,5.7,
2009-02-28,45.3,1.0,-3.4,18.8,,
2009-03-31,49.0,-1.6,-4.5,20.4,11.0,
2009-04-30,52.4,-1.2,-6.0,25.5,8.3,
2009-05-31,53.5,-1.5,-6.6,26.0,7.3,
2009-06-30,53.1,-1.4,-7.2,25.7,8.9,
2009-07-31,53.2,-1.7,-7.8,28.5,10.7,
2009-08-31,53.3,-1.8,-8.2,28.4,10.8,
2009-09-30,54.0,-1.2,-7.9,28.5,12.3,
2009-10-31,54.3,-0.8,-7.0,29.3,13.9,
2009-11-30,55.2,-0.5,-5.8,29.5,16.1,
2009-12-31,55.2,0.6,-2.1,29.7,19.2,
2010-01-31,56.6,1.9,1.7,27.7,18.5,
2010-02-28,55.8,1.5,4.3,26.1,,
2010-03-31,52.0,2.7,5.4,25.5,12.8,
2010-04-30,55.1,2.4,5.9,22.5,18.1,
2010-05-31,55.7,2.8,6.8,21.5,17.8,
2010-06-30,53.9,3.1,7.1,21.0,16.5,
2010-07-31,52.1,2.9,6.4,18.5,13.7,
2010-08-31,51.2,3.3,4.8,17.6,13.4,
2010-09-30,51.7,3.5,4.3,19.2,13.9,
2010-10-31,53.8,3.6,4.3,19.0,13.3,
2010-11-30,54.7,4.4,5.0,19.3,13.1,
2010-12-31,55.2,5.1,6.1,19.5,13.3,
2011-01-31,53.9,4.6,5.9,19.7,13.5,9.8
2011-02-28,52.9,4.9,6.6,17.2,,
2011-03-31,52.2,4.9,7.2,15.7,14.1,
2011-04-30,53.4,5.4,7.3,16.6,14.8,9.7
2011-05-31,52.9,5.3,6.8,15.3,13.4,
2011-06-30,52.0,5.5,6.8,15.1,13.3,
2011-07-31,50.9,6.4,7.1,15.9,15.1,9.5
2011-08-31,50.7,6.5,7.5,14.7,14.0,
2011-09-30,50.9,6.2,7.3,13.5,13.5,
2011-10-31,51.2,6.1,6.5,13.0,13.8,9.1
2011-11-30,50.4,5.5,5.0,12.9,13.2,
2011-12-31,49.0,4.2,2.7,12.7,12.4,
2012-01-31,50.3,4.1,1.7,13.6,12.8,8.9
2012-02-29,50.5,4.5,0.7,12.4,,
2012-03-31,51.0,3.2,0.0,13.0,11.4,
2012-04-30,53.1,3.6,-0.3,13.4,11.9,8.1
2012-05-31,53.3,3.4,-0.7,12.8,9.3,
2012-06-30,50.4,3.0,-1.4,13.2,9.6,
2012-07-31,50.2,2.2,-2.1,13.6,9.5,7.6
2012-08-31,50.1,1.8,-2.9,13.9,9.2,
2012-09-30,49.2,2.0,-3.5,13.5,8.9,
2012-10-31,49.8,1.9,-3.6,14.8,9.2,7.4
2012-11-30,50.2,1.7,-2.8,14.1,9.6,
2012-12-31,50.6,2.0,-2.2,13.9,10.1,
2013-01-31,50.6,2.5,-1.9,13.8,10.3,7.9
2013-02-28,50.4,2.0,-1.6,15.9,,
2013-03-31,50.1,3.2,-1.6,15.2,9.9,
2013-04-30,50.9,2.1,-1.9,15.7,8.9,7.7
2013-05-31,50.6,2.4,-2.6,16.1,9.3,
2013-06-30,50.8,2.1,-2.9,15.8,9.2,
2013-07-31,50.1,2.7,-2.7,14.0,8.9,7.5
2013-08-31,50.3,2.7,-2.3,14.5,9.7,
2013-09-30,51.0,2.6,-1.6,14.7,10.4,
2013-10-31,51.1,3.1,-1.3,14.2,10.2,7.8
2013-11-30,51.4,3.2,-1.5,14.3,10.3,
2013-12-31,51.4,3.0,-1.4,14.2,10.0,
2014-01-31,51.0,2.5,-1.4,13.6,9.7,7.7
2014-02-28,50.5,2.5,-1.6,13.2,,
2014-03-31,50.2,2.0,-2.0,13.3,8.6,
2014-04-30,50.3,2.4,-2.3,12.1,8.8,7.4
2014-05-31,50.4,1.8,-2.0,13.2,8.7,
2014-06-30,50.8,2.5,-1.4,13.4,8.8,
2014-07-31,51.0,2.3,-1.1,14.7,9.2,7.5
2014-08-31,51.7,2.3,-0.9,13.5,9.0,
2014-09-30,51.1,2.0,-1.2,12.8,6.9,
2014-10-31,51.1,1.6,-1.8,12.9,8.0,7.3
2014-11-30,50.8,1.6,-2.2,12.6,7.7,
2014-12-31,50.3,1.4,-2.7,12.3,7.2,
2015-01-31,50.1,1.5,-3.3,12.2,7.9,7.3
2015-02-28,49.8,0.8,-4.3,10.8,,
2015-03-31,49.9,1.4,-4.8,12.5,6.8,
2015-04-30,50.1,1.4,-4.6,11.6,5.6,7.0
2015-05-31,50.1,1.5,-4.6,10.1,5.9,
2015-06-30,50.2,1.2,-4.6,10.8,6.1,
2015-07-31,50.2,1.4,-4.8,11.8,6.8,7.0
2015-08-31,50.0,1.6,-5.4,13.3,6.0,
2015-09-30,49.7,2.0,-5.9,13.3,6.1,
2015-10-31,49.8,1.6,-5.9,13.1,5.7,6.9
2015-11-30,49.8,1.3,-5.9,13.5,5.6,
2015-12-31,49.6,1.5,-5.9,13.7,6.2,
2016-01-31,49.7,1.6,-5.9,13.3,5.9,6.8
2016-02-29,49.4,1.8,-5.3,14.0,,
2016-03-31,49.0,2.3,-4.9,,5.4,
2016-04-30,50.2,2.3,-4.3,13.4,6.8,6.7
2016-05-31,50.1,2.3,-3.4,12.8,6.0,
2016-06-30,50.1,2.0,-2.8,11.8,6.0,
2016-07-31,50.0,1.9,-2.6,11.8,6.2,6.7
2016-08-31,49.9,1.8,-1.7,10.2,6.0,
2016-09-30,50.4,1.3,-0.8,11.4,6.3,
2016-10-31,50.4,1.9,0.1,11.5,6.1,6.7
2016-11-30,51.2,2.1,1.2,11.6,6.1,
2016-12-31,51.7,2.3,3.3,11.4,6.2,
2017-01-31,51.4,2.1,5.5,11.3,6.0,6.8
2017-02-28,51.3,2.5,6.9,11.3,,
2017-03-31,51.8,0.8,7.8,11.1,6.3,
2017-04-30,51.2,0.9,7.6,10.6,7.6,6.9
2017-05-31,51.2,1.2,6.4,10.5,6.5,
2017-06-30,51.7,1.5,5.5,9.6,6.5,
2017-07-31,51.4,1.5,5.5,9.4,7.6,6.9
2017-08-31,51.7,1.4,5.5,9.2,6.4,
2017-09-30,52.4,1.8,6.3,8.9,6.0,
2017-10-31,51.6,1.6,6.9,9.2,6.6,6.8
2017-11-30,51.8,1.9,6.9,8.8,6.2,
2017-12-31,51.6,1.7,5.8,9.1,6.1,
2018-01-31,51.3,1.8,4.9,8.2,6.2,6.8
2018-02-28,50.3,1.5,4.3,8.6,,
2018-03-31,51.5,2.9,3.7,8.8,7.2,
2018-04-30,51.4,2.1,3.1,8.2,6.0,6.8
2018-05-31,51.9,1.8,3.4,8.3,7.0,
2018-06-30,51.5,1.8,4.1,8.3,6.8,
2018-07-31,51.2,1.9,4.7,8.0,6.0,6.7
2018-08-31,51.3,2.1,4.6,8.5,6.0,
2018-09-30,50.8,2.3,4.1,8.2,6.1,
2018-10-31,50.2,2.5,3.6,8.3,5.8,6.5
2018-11-30,50.0,2.5,3.3,8.0,5.9,
2018-12-31,49.4,2.2,2.7,8.0,5.4,
2019-01-31,49.5,1.9,0.9,8.1,5.7,6.4
2019-02-28,49.2,1.7,0.1,8.4,,
2019-03-31,50.5,1.5,0.1,8.0,5.3,
2019-04-30,50.1,2.3,0.4,8.6,8.5,6.4
2019-05-31,49.4,2.5,0.9,8.5,5.4,
2019-06-30,49.4,2.7,0.6,8.5,5.0,
2019-07-31,49.7,2.7,0.0,8.5,6.3,6.2
2019-08-31,49.5,2.8,-0.3,8.1,4.8,
2019-09-30,49.8,2.8,-0.8,8.2,4.4,
2019-10-31,49.3,3.0,-1.2,8.4,5.8,6.0
2019-11-30,50.2,3.8,-1.6,,,
2019-12-31,50.2,4.5,-1.4,,6.2,
2020-01-31,50.0,4.5,-0.5,8.7,6.9,6.0
2020-02-29,35.7,5.4,0.1,8.4,,
2020-03-31,52.0,5.2,-0.4,8.8,-13.5,
2020-04-30,50.8,4.3,-1.5,10.1,-1.1,-6.8
2020-05-31,50.6,3.3,-3.1,11.1,3.9,
2020-06-30,50.9,2.4,-3.7,11.1,4.4,
2020-07-31,51.1,2.5,-3.0,11.1,4.8,3.2
2020-08-31,51.0,2.7,-2.4,10.7,4.8,
2020-09-30,51.5,2.4,-2.0,10.4,5.6,
2020-10-31,51.4,1.7,-2.1,,6.9,4.9
2020-11-30,52.1,0.5,-2.1,,,
2020-12-31,51.9,-0.5,-1.5,,7.0,
2021-01-31,51.3,0.2,-0.4,,7.3,6.5
2021-02-28,50.6,-0.3,0.3,9.4,,
2021-03-31,51.9,-0.2,1.7,,35.1,
2021-04-30,51.1,0.4,4.4,9.4,14.1,18.3
2021-05-31,51.0,0.9,6.8,8.1,9.8,
2021-06-30,50.9,1.3,9.0,8.3,8.8,
2021-07-31,50.4,1.1,8.8,,8.3,7.9
2021-08-31,50.1,1.0,9.0,8.3,6.4,
2021-09-30,49.6,0.8,9.5,,5.3,
2021-10-31,49.2,0.7,10.7,8.3,3.1,4.9
2021-11-30,50.1,1.5,13.5,,,
2021-12-31,50.3,2.3,12.9,,3.8,
2022-01-31,,1.5,10.3,9.0,4.3,4.0
2022-02-28,,0.9,9.1,,,
2022-03-31,49.5,0.9,8.8,9.2,7.5,
2022-04-30,47.4,1.5,8.3,,5.0,4.8
2022-05-31,49.6,2.1,8.0,10.5,-2.9,
2022-06-30,50.2,2.1,6.4,11.1,0.7,
2022-07-31,49.0,2.5,6.1,11.4,3.9,0.4
2022-08-31,49.4,2.7,4.2,12.0,3.8,
2022-09-30,50.1,2.5,2.3,12.2,4.2,
2022-10-31,49.2,2.8,0.9,12.1,,
2022-11-30,48.0,2.1,-1.3,11.8,5.0,
2022-12-31,47.0,1.6,-1.3,12.4,2.2,
2023-01-31,50.1,1.8,-0.7,11.8,1.3,2.9
2023-02-28,,2.1,-0.8,12.6,,
2023-03-31,51.9,1.0,-1.4,12.9,2.4,
2023-04-30,49.2,0.7,-2.5,12.7,3.9,4.5
2023-05-31,48.8,0.1,-3.6,,5.6,
2023-06-30,49.0,0.2,-4.6,11.6,3.5,
2023-07-31,49.3,0.0,-5.4,11.3,4.4,6.3
2023-08-31,49.7,-0.3,-4.4,10.7,3.7,
2023-09-30,50.2,0.1,-3.0,10.6,4.5,
2023-10-31,49.5,0.0,-2.5,10.3,4.5,4.9
2023-11-30,49.4,-0.2,-2.6,10.3,4.6,
2023-12-31,49.0,-0.5,-3.0,10.0,6.6,
2024-01-31,49.2,-0.3,-2.7,9.7,6.8,5.2
