date,SPY,QQQ,TLT,GLD,SLV,DBC,USO,BTC,USDCNY
2018-01-31,250.922,161.185,101.287,127.65,16.35,16.618,103.84,10285.1,6.2841
2018-02-28,241.822,159.076,98.2069,125.0,15.46,16.132,98.96,10326.76,6.328
2018-03-31,235.199,152.606,101.005,125.79,15.41,16.501,104.72,6923.91,6.2726
2018-04-30,236.403,153.359,98.8885,124.59,15.38,17.065,110.4,9246.01,6.3325
2018-05-31,242.148,162.083,100.883,123.1,15.46,17.522,108.4,7485.01,6.4096
2018-06-30,243.565,163.938,101.545,118.65,15.15,17.181,120.48,6390.07,6.6171
2018-07-31,252.596,168.517,100.044,115.99,14.61,16.764,114.24,7730.93,6.8038
2018-08-31,260.637,178.261,101.385,113.51,13.65,16.89,117.68,7011.21,6.83
2018-09-30,262.198,177.758,98.465,112.76,13.73,17.463,124.16,6626.57,6.868
2018-10-31,244.082,162.488,95.5773,115.15,13.41,16.481,110.32,6371.93,6.9737
2018-11-30,248.588,162.053,97.2897,115.54,13.32,14.859,85.84,4041.32,6.9558
2018-12-31,226.699,148.007,102.994,121.25,14.52,14.265,77.28,3702.9,6.8755
2019-01-31,244.838,161.359,103.37,124.75,15.05,15.279,90.8,3434.1,6.6958
2019-02-28,252.811,166.163,101.967,123.99,14.63,15.712,95.6,3813.69,6.6912
2019-03-31,257.355,172.692,107.621,122.01,14.18,15.653,100.0,4103.95,6.7112
2019-04-30,267.893,182.188,105.48,121.2,14.02,15.84,106.32,5320.81,6.7347
2019-05-31,250.781,167.191,112.695,123.33,13.65,14.895,88.8,8555.0,6.9027
2019-06-30,268.246,179.917,113.779,133.2,14.33,15.486,96.32,10854.1,6.865
2019-07-31,272.294,184.093,114.064,133.21,15.21,15.309,96.32,10080.53,6.8833
2019-08-31,267.751,180.593,126.659,143.75,17.15,14.6,91.68,9587.47,7.1543
2019-09-30,272.947,182.257,123.275,138.87,15.92,14.807,90.72,8289.34,7.1477
2019-10-31,278.985,190.239,121.898,142.43,16.92,15.092,90.4,9140.85,7.0379
