Date,DBC
2018-01-31,16.618
2018-02-28,16.132
2018-03-31,16.501
2018-04-30,17.065
2018-05-31,17.522
2018-06-30,17.181
2018-07-31,16.764
2018-08-31,16.89
2018-09-30,17.463
2018-10-31,16.481
2018-11-30,14.859
2018-12-31,14.265
2019-01-31,15.279
2019-02-28,15.712
2019-03-31,15.653
2019-04-30,15.84
2019-05-31,14.895
2019-06-30,15.486
2019-07-31,15.309
2019-08-31,14.6
2019-09-30,14.807
2019-10-31,15.092
2019-11-30,15.072
2019-12-31,15.95
2020-01-31,14.58
2020-02-29,13.61
2020-03-31,11.25
2020-04-30,10.9
2020-05-31,11.78
2020-06-30,12.31
2020-07-31,12.94
2020-08-31,13.54
2020-09-30,13.06
2020-10-31,12.65
2020-11-30,13.94
2020-12-31,14.7
2021-01-31,15.19
2021-02-28,16.73
2021-03-31,16.61
2021-04-30,17.91
2021-05-31,18.6
2021-06-30,19.25
2021-07-31,19.5
2021-08-31,19.18
2021-09-30,20.18
2021-10-31,21.35
2021-11-30,19.48
2021-12-31,20.78
2022-01-31,22.42
2022-02-28,23.87
2022-03-31,26.06
2022-04-30,27.53
2022-05-31,28.8
2022-06-30,26.64
2022-07-31,26.11
2022-08-31,25.72
2022-09-30,23.91
2022-10-31,25.12
2022-11-30,25.49
2022-12-31,24.65
2023-01-31,24.87
2023-02-28,23.76
2023-03-31,23.74
2023-04-30,23.56
2023-05-31,22.05
2023-06-30,22.7
2023-07-31,24.68
2023-08-31,24.59
2023-09-30,24.96
2023-10-31,24.51
2023-11-30,23.91
2023-12-31,22.04
2024-01-31,22.33
2024-02-29,21.99
2024-03-31,22.97
2024-04-30,23.34
2024-05-31,23.11
2024-06-30,23.23
2024-07-31,22.58
2024-08-31,22.11
2024-09-30,22.27
2024-10-31,22.59
2024-11-30,22.14
2024-12-31,21.38
2025-01-31,21.97
2025-02-28,22.0
2025-03-31,22.5
2025-04-30,20.57
2025-05-31,20.88
2025-06-30,21.81
2025-07-31,22.45
2025-08-31,22.21
2025-09-30,22.53
2025-10-31,22.88
2025-11-30,23.06
2025-12-31,22.36
2026-01-31,24.43
2026-02-28,24.75
