Date,GLD
2018-01-31,127.65
2018-02-28,125.0
2018-03-31,125.79
2018-04-30,124.59
2018-05-31,123.1
2018-06-30,118.65
2018-07-31,115.99
2018-08-31,113.51
2018-09-30,112.76
2018-10-31,115.15
2018-11-30,115.54
2018-12-31,121.25
2019-01-31,124.75
2019-02-28,123.99
2019-03-31,122.01
2019-04-30,121.2
2019-05-31,123.33
2019-06-30,133.2
2019-07-31,133.21
2019-08-31,143.75
2019-09-30,138.87
2019-10-31,142.43
2019-11-30,137.86
2019-12-31,142.9
2020-01-31,149.33
2020-02-29,148.38
2020-03-31,148.05
2020-04-30,158.8
2020-05-31,162.91
2020-06-30,167.37
2020-07-31,185.43
2020-08-31,184.83
2020-09-30,177.12
2020-10-31,176.2
2020-11-30,166.67
2020-12-31,178.36
2021-01-31,172.61
2021-02-28,161.81
2021-03-31,159.96
2021-04-30,165.66
2021-05-31,178.38
2021-06-30,165.63
2021-07-31,169.82
2021-08-31,169.69
2021-09-30,164.22
2021-10-31,166.65
2021-11-30,165.5
2021-12-31,170.96
2022-01-31,168.09
2022-02-28,178.38
2022-03-31,180.65
2022-04-30,176.91
2022-05-31,171.14
2022-06-30,168.46
2022-07-31,164.1
2022-08-31,159.27
2022-09-30,154.67
2022-10-31,151.91
2022-11-30,164.81
2022-12-31,169.64
2023-01-31,179.41
2023-02-28,169.78
2023-03-31,183.22
2023-04-30,184.8
2023-05-31,182.32
2023-06-30,178.27
2023-07-31,182.35
2023-08-31,180.02
2023-09-30,171.45
2023-10-31,184.09
2023-11-30,188.75
2023-12-31,191.17
2024-01-31,188.45
2024-02-29,189.31
2024-03-31,205.72
2024-04-30,211.87
2024-05-31,212.96
2024-06-30,215.01
2024-07-31,226.55
2024-08-31,231.29
2024-09-30,243.06
2024-10-31,253.51
2024-11-30,245.59
2024-12-31,242.13
2025-01-31,258.56
2025-02-28,263.27
2025-03-31,288.14
2025-04-30,303.77
2025-05-31,303.6
2025-06-30,304.83
2025-07-31,302.96
2025-08-31,318.07
2025-09-30,355.47
2025-10-31,368.12
2025-11-30,387.88
2025-12-31,396.31
2026-01-31,444.95
2026-02-28,473.42
