Date,SLV
2018-01-31,16.35
2018-02-28,15.46
2018-03-31,15.41
2018-04-30,15.38
2018-05-31,15.46
2018-06-30,15.15
2018-07-31,14.61
2018-08-31,13.65
2018-09-30,13.73
2018-10-31,13.41
2018-11-30,13.32
2018-12-31,14.52
2019-01-31,15.05
2019-02-28,14.63
2019-03-31,14.18
2019-04-30,14.02
2019-05-31,13.65
2019-06-30,14.33
2019-07-31,15.21
2019-08-31,17.15
2019-09-30,15.92
2019-10-31,16.92
2019-11-30,15.92
2019-12-31,16.68
2020-01-31,16.82
2020-02-29,15.53
2020-03-31,13.05
2020-04-30,13.98
2020-05-31,16.66
2020-06-30,17.01
2020-07-31,22.65
2020-08-31,26.23
2020-09-30,21.64
2020-10-31,21.99
2020-11-30,21.05
2020-12-31,24.57
2021-01-31,24.99
2021-02-28,24.66
2021-03-31,22.7
2021-04-30,24.01
2021-05-31,25.9
2021-06-30,24.22
2021-07-31,23.63
2021-08-31,22.14
2021-09-30,20.52
2021-10-31,22.09
2021-11-30,21.06
2021-12-31,21.51
2022-01-31,20.8
2022-02-28,22.62
2022-03-31,22.88
2022-04-30,21.04
2022-05-31,19.84
2022-06-30,18.64
2022-07-31,18.7
2022-08-31,16.58
2022-09-30,17.5
2022-10-31,17.62
2022-11-30,20.43
2022-12-31,22.02
2023-01-31,21.83
2023-02-28,19.22
2023-03-31,22.12
2023-04-30,23.0
2023-05-31,21.61
2023-06-30,20.89
2023-07-31,22.69
2023-08-31,22.39
2023-09-30,20.34
2023-10-31,20.98
2023-11-30,23.13
2023-12-31,21.78
2024-01-31,20.91
2024-02-29,20.73
2024-03-31,22.75
2024-04-30,24.05
2024-05-31,25.07
2024-06-30,26.57
2024-07-31,26.39
2024-08-31,26.35
2024-09-30,28.41
2024-10-31,29.81
2024-11-30,27.92
2024-12-31,26.33
2025-01-31,28.51
2025-02-28,28.31
2025-03-31,30.99
2025-04-30,29.6
2025-05-31,30.0
2025-06-30,32.81
2025-07-31,33.32
2025-08-31,36.19
2025-09-30,42.37
2025-10-31,44.01
2025-11-30,51.21
2025-12-31,64.42
2026-01-31,75.44
2026-02-28,80.04
