Date,SPY
2018-01-31,250.922
2018-02-28,241.822
2018-03-31,235.199
2018-04-30,236.403
2018-05-31,242.148
2018-06-30,243.565
2018-07-31,252.596
2018-08-31,260.637
2018-09-30,262.198
2018-10-31,244.082
2018-11-30,248.588
2018-12-31,226.699
2019-01-31,244.838
2019-02-28,252.811
2019-03-31,257.355
2019-04-30,267.893
2019-05-31,250.781
2019-06-30,268.246
2019-07-31,272.294
2019-08-31,267.751
2019-09-30,272.947
2019-10-31,278.985
2019-11-30,289.074
2019-12-31,297.478
2020-01-31,297.351
2020-02-29,273.828
2020-03-31,239.64
2020-04-30,270.067
2020-05-31,282.93
2020-06-30,287.954
2020-07-31,304.904
2020-08-31,326.189
2020-09-30,313.977
2020-10-31,306.149
2020-11-30,339.437
2020-12-31,352.023
2021-01-31,348.434
2021-02-28,358.13
2021-03-31,374.391
2021-04-30,394.202
2021-05-31,396.787
2021-06-30,405.687
2021-07-31,415.592
2021-08-31,427.968
2021-09-30,408.012
2021-10-31,436.649
2021-11-30,433.135
2021-12-31,453.169
2022-01-31,429.269
2022-02-28,416.598
2022-03-31,432.267
2022-04-30,394.327
2022-05-31,395.216
2022-06-30,362.629
2022-07-31,396.023
2022-08-31,379.865
2022-09-30,344.75
2022-10-31,372.772
2022-11-30,393.496
2022-12-31,370.819
2023-01-31,394.139
2023-02-28,384.227
2023-03-31,398.475
2023-04-30,404.841
2023-05-31,406.709
2023-06-30,433.065
2023-07-31,447.241
2023-08-31,439.972
2023-09-30,419.103
2023-10-31,410.004
2023-11-30,447.455
2023-12-31,467.884
2024-01-31,475.335
2024-02-29,500.142
2024-03-31,516.498
2024-04-30,495.672
2024-05-31,520.743
2024-06-30,539.115
2024-07-31,545.643
2024-08-31,558.393
2024-09-30,570.121
2024-10-31,565.034
2024-11-30,598.728
2024-12-31,584.323
2025-01-31,600.016
2025-02-28,592.398
2025-03-31,559.39
2025-04-30,554.54
2025-05-31,589.39
2025-06-30,617.85
2025-07-31,632.08
2025-08-31,645.05
2025-09-30,666.18
2025-10-31,682.06
2025-11-30,683.39
2025-12-31,681.92
2026-01-31,691.97
2026-02-28,693.15
