Date,USO
2018-01-31,103.84
2018-02-28,98.96
2018-03-31,104.72
2018-04-30,110.4
2018-05-31,108.4
2018-06-30,120.48
2018-07-31,114.24
2018-08-31,117.68
2018-09-30,124.16
2018-10-31,110.32
2018-11-30,85.84
2018-12-31,77.28
2019-01-31,90.8
2019-02-28,95.6
2019-03-31,100.0
2019-04-30,106.32
2019-05-31,88.8
2019-06-30,96.32
2019-07-31,96.32
2019-08-31,91.68
2019-09-30,90.72
2019-10-31,90.4
2019-11-30,92.96
2019-12-31,102.48
2020-01-31,86.72
2020-02-29,75.6
2020-03-31,33.68
2020-04-30,19.12
2020-05-31,25.88
2020-06-30,28.06
2020-07-31,29.07
2020-08-31,30.58
2020-09-30,28.29
2020-10-31,25.25
2020-11-30,30.97
2020-12-31,33.01
2021-01-31,35.18
2021-02-28,41.31
2021-03-31,40.53
2021-04-30,43.27
2021-05-31,45.42
2021-06-30,49.88
2021-07-31,50.66
2021-08-31,48.04
2021-09-30,52.56
2021-10-31,57.15
2021-11-30,47.91
2021-12-31,54.36
2022-01-31,62.48
2022-02-28,67.48
2022-03-31,74.12
2022-04-30,77.16
2022-05-31,85.47
2022-06-30,80.35
2022-07-31,78.05
2022-08-31,73.11
2022-09-30,65.28
2022-10-31,71.53
2022-11-30,70.23
2022-12-31,70.11
2023-01-31,69.32
2023-02-28,67.21
2023-03-31,66.44
2023-04-30,67.5
2023-05-31,60.63
2023-06-30,63.55
2023-07-31,73.17
2023-08-31,75.06
2023-09-30,80.86
2023-10-31,75.02
2023-11-30,70.14
2023-12-31,66.65
2024-01-31,70.92
2024-02-29,73.36
2024-03-31,78.73
2024-04-30,78.38
2024-05-31,75.66
2024-06-30,79.59
2024-07-31,77.74
2024-08-31,74.34
2024-09-30,69.92
2024-10-31,73.08
2024-11-30,71.61
2024-12-31,75.55
2025-01-31,78.02
2025-02-28,75.22
2025-03-31,77.33
2025-04-30,63.56
2025-05-31,67.15
2025-06-30,73.11
2025-07-31,79.59
2025-08-31,74.84
2025-09-30,73.75
2025-10-31,72.56
2025-11-30,71.07
2025-12-31,69.16
2026-01-31,79.52
2026-02-28,79.73
