date,CGB,CSI300,STAR50
2018-01-02,109.52,4.136,
2018-01-03,109.564,4.158,
2018-01-04,109.584,4.171,
2018-01-05,109.593,4.187,
2018-01-08,109.656,4.204,
2018-01-09,109.677,4.238,
2018-01-10,109.669,4.256,
2018-01-11,109.571,4.25,
2018-01-12,109.667,4.273,
2018-01-15,109.542,4.265,
2018-01-16,109.545,4.308,
2018-01-17,109.531,4.295,
2018-01-18,109.414,4.323,
2018-01-19,109.557,4.335,
2018-01-22,109.645,4.39,
2018-01-23,109.686,4.388,
2018-01-24,109.815,4.391,
2018-01-25,109.908,4.363,
2018-01-26,109.937,4.385,
2018-01-29,109.992,4.302,
2018-01-30,109.986,4.258,
2018-01-31,109.845,4.271,
2018-02-01,109.868,4.241,
2018-02-02,109.92,4.267,
2018-02-05,109.996,4.263,
2018-02-06,109.982,4.143,
2018-02-07,110.047,4.045,
2018-02-08,110.039,4.012,
2018-02-09,110.389,3.827,
2018-02-12,110.514,3.882,
2018-02-13,110.512,3.929,
2018-02-14,110.52,3.964,
2018-02-22,110.369,4.046,
2018-02-23,110.328,4.068,
2018-02-26,110.373,4.12,
2018-02-27,110.494,4.061,
2018-02-28,110.646,4.02,
2018-03-01,110.9,4.049,
2018-03-02,110.976,4.022,
2018-03-05,110.995,4.013,
2018-03-06,110.999,4.073,
2018-03-07,110.937,4.04,
2018-03-08,110.97,4.081,
2018-03-09,110.861,4.111,
2018-03-12,110.843,4.123,
2018-03-13,110.813,4.079,
2018-03-14,110.764,4.065,
2018-03-15,110.779,4.095,
2018-03-16,110.815,4.05,
2018-03-19,110.852,4.072,
2018-03-20,110.829,4.07,
2018-03-21,110.831,4.049,
2018-03-22,110.832,4.013,
2018-03-23,111.05,3.894,
2018-03-26,111.497,3.876,
2018-03-27,111.339,3.911,
2018-03-28,111.288,3.832,
2018-03-29,111.009,3.902,
2018-03-30,111.213,3.896,
2018-04-02,111.194,3.883,
2018-04-03,111.306,3.858,
2018-04-04,111.334,3.848,
2018-04-09,111.492,3.853,
2018-04-10,111.506,3.928,
2018-04-11,111.517,3.933,
2018-04-12,111.586,3.892,
2018-04-13,111.776,3.865,
2018-04-16,112.086,3.804,
2018-04-17,112.004,3.748,
2018-04-18,112.494,3.756,
2018-04-19,112.264,3.809,
2018-04-20,112.115,3.75,
2018-04-23,112.105,3.766,
2018-04-24,112.252,3.845,
2018-04-25,112.344,3.822,
2018-04-26,112.311,3.746,
2018-04-27,112.359,3.754,
2018-05-02,112.275,3.766,
