date,CGB
2018-01-02,109.52
2018-01-03,109.564
2018-01-04,109.584
2018-01-05,109.593
2018-01-08,109.656
2018-01-09,109.677
2018-01-10,109.669
2018-01-11,109.571
2018-01-12,109.667
2018-01-15,109.542
2018-01-16,109.545
2018-01-17,109.531
2018-01-18,109.414
2018-01-19,109.557
2018-01-22,109.645
2018-01-23,109.686
2018-01-24,109.815
2018-01-25,109.908
2018-01-26,109.937
2018-01-29,109.992
2018-01-30,109.986
2018-01-31,109.845
2018-02-01,109.868
2018-02-02,109.92
2018-02-05,109.996
2018-02-06,109.982
2018-02-07,110.047
2018-02-08,110.039
2018-02-09,110.389
2018-02-12,110.514
2018-02-13,110.512
2018-02-14,110.52
2018-02-22,110.369
2018-02-23,110.328
2018-02-26,110.373
2018-02-27,110.494
2018-02-28,110.646
2018-03-01,110.9
2018-03-02,110.976
2018-03-05,110.995
2018-03-06,110.999
2018-03-07,110.937
2018-03-08,110.97
2018-03-09,110.861
2018-03-12,110.843
2018-03-13,110.813
2018-03-14,110.764
2018-03-15,110.779
2018-03-16,110.815
2018-03-19,110.852
2018-03-20,110.829
2018-03-21,110.831
2018-03-22,110.832
2018-03-23,111.05
2018-03-26,111.497
2018-03-27,111.339
2018-03-28,111.288
2018-03-29,111.009
2018-03-30,111.213
2018-04-02,111.194
2018-04-03,111.306
2018-04-04,111.334
2018-04-09,111.492
2018-04-10,111.506
2018-04-11,111.517
2018-04-12,111.586
2018-04-13,111.776
2018-04-16,112.086
2018-04-17,112.004
2018-04-18,112.494
2018-04-19,112.264
2018-04-20,112.115
2018-04-23,112.105
2018-04-24,112.252
2018-04-25,112.344
2018-04-26,112.311
2018-04-27,112.359
2018-05-02,112.275
2018-05-03,112.428
2018-05-04,112.301
2018-05-07,112.302
2018-05-08,112.202
2018-05-09,112.007
2018-05-10,112.011
2018-05-11,112.083
2018-05-14,112.089
2018-05-15,112.066
2018-05-16,112.087
2018-05-17,112.044
2018-05-18,112.047
2018-05-21,112.063
2018-05-22,112.116
2018-05-23,112.214
2018-05-24,112.295
2018-05-25,112.493
2018-05-28,112.31
2018-05-29,112.172
2018-05-30,112.138
2018-05-31,112.149
2018-06-01,112.189
2018-06-04,112.273
2018-06-05,112.154
2018-06-06,112.147
2018-06-07,112.118
2018-06-08,112.131
2018-06-11,112.245
2018-06-12,112.08
2018-06-13,112.093
2018-06-14,112.097
2018-06-15,112.156
2018-06-19,112.418
2018-06-20,112.403
2018-06-21,112.34
2018-06-22,112.416
2018-06-25,112.562
2018-06-26,112.604
2018-06-27,112.547
2018-06-28,112.239
2018-06-29,112.856
2018-07-02,112.842
2018-07-03,112.773
2018-07-04,113.0
2018-07-05,112.996
2018-07-06,112.991
2018-07-09,112.935
2018-07-10,112.841
2018-07-11,112.806
2018-07-12,112.773
2018-07-13,112.898
2018-07-16,113.097
2018-07-17,113.243
2018-07-18,113.281
2018-07-19,113.398
2018-07-20,113.35
2018-07-23,113.459
2018-07-24,113.212
2018-07-25,113.225
2018-07-26,113.41
2018-07-27,113.239
2018-07-30,113.31
2018-07-31,113.418
2018-08-01,113.71
2018-08-02,113.797
2018-08-03,113.893
2018-08-06,113.97
2018-08-07,114.035
2018-08-08,113.92
2018-08-09,113.777
2018-08-10,113.65
2018-08-13,113.51
2018-08-14,113.758
2018-08-15,113.421
2018-08-16,113.382
2018-08-17,112.513
2018-08-20,112.679
2018-08-21,112.684
2018-08-22,112.737
2018-08-23,112.851
2018-08-24,113.014
2018-08-27,112.978
2018-08-28,113.136
2018-08-29,113.29
2018-08-30,113.281
2018-08-31,113.459
2018-09-03,113.31
2018-09-04,113.141
2018-09-05,113.278
2018-09-06,113.233
2018-09-07,113.142
2018-09-10,113.16
2018-09-11,112.951
2018-09-12,113.132
2018-09-13,113.103
2018-09-14,113.082
2018-09-17,113.083
2018-09-18,113.05
2018-09-19,113.088
2018-09-20,113.124
2018-09-21,113.26
2018-09-25,113.258
2018-09-26,113.375
2018-09-27,113.428
2018-09-28,113.728
2018-10-08,114.0
