Date,QQQ
2018-01-31,161.185
2018-02-28,159.076
2018-03-31,152.606
2018-04-30,153.359
2018-05-31,162.083
2018-06-30,163.938
2018-07-31,168.517
2018-08-31,178.261
2018-09-30,177.758
2018-10-31,162.488
2018-11-30,162.053
2018-12-31,148.007
2019-01-31,161.359
2019-02-28,166.163
2019-03-31,172.692
2019-04-30,182.188
2019-05-31,167.191
2019-06-30,179.917
2019-07-31,184.093
2019-08-31,180.593
2019-09-30,182.257
2019-10-31,190.239
2019-11-30,197.974
2019-12-31,205.669
2020-01-31,211.933
2020-02-29,199.09
2020-03-31,184.602
2020-04-30,212.247
2020-05-31,226.266
2020-06-30,240.481
2020-07-31,258.144
2020-08-31,286.407
2020-09-30,270.251
2020-10-31,262.028
2020-11-30,291.437
2020-12-31,305.72
2021-01-31,306.523
2021-02-28,306.114
2021-03-31,311.355
2021-04-30,329.768
2021-05-31,325.795
2021-06-30,346.206
2021-07-31,356.117
2021-08-31,371.137
2021-09-30,350.03
2021-10-31,377.567
2021-11-30,385.105
2021-12-31,389.535
2022-01-31,355.471
2022-02-28,339.56
2022-03-31,355.402
2022-04-30,307.082
2022-05-31,302.212
2022-06-30,275.289
2022-07-31,309.842
2022-08-31,293.942
2022-09-30,262.973
2022-10-31,273.494
2022-11-30,288.656
2022-12-31,262.637
2023-01-31,290.589
2023-02-28,289.545
2023-03-31,317.029
2023-04-30,318.642
2023-05-31,343.762
2023-06-30,365.43
2023-07-31,379.537
2023-08-31,373.908
2023-09-30,354.915
2023-10-31,347.583
2023-11-30,385.188
2023-12-31,406.495
2024-01-31,413.891
2024-02-29,435.758
2024-03-31,441.314
2024-04-30,422.012
2024-05-31,447.973
2024-06-30,476.957
2024-07-31,468.953
2024-08-31,474.13
2024-09-30,486.56
2024-10-31,482.352
2024-11-30,508.162
2024-12-31,510.469
2025-01-31,521.513
2025-02-28,507.414
2025-03-31,468.92
2025-04-30,475.47
2025-05-31,519.11
2025-06-30,551.64
2025-07-31,565.01
2025-08-31,570.4
2025-09-30,600.37
2025-10-31,629.07
2025-11-30,619.25
2025-12-31,614.31
2026-01-31,621.87
2026-02-28,616.68
