Date,TLT
2018-01-31,101.287
2018-02-28,98.2069
2018-03-31,101.005
2018-04-30,98.8885
2018-05-31,100.883
2018-06-30,101.545
2018-07-31,100.044
2018-08-31,101.385
2018-09-30,98.465
2018-10-31,95.5773
2018-11-30,97.2897
2018-12-31,102.994
2019-01-31,103.37
2019-02-28,101.967
2019-03-31,107.621
2019-04-30,105.48
2019-05-31,112.695
2019-06-30,113.779
2019-07-31,114.064
2019-08-31,126.659
2019-09-30,123.275
2019-10-31,121.898
2019-11-30,121.421
2019-12-31,117.512
2020-01-31,126.556
2020-02-29,134.934
2020-03-31,143.547
2020-04-30,145.306
2020-05-31,142.746
2020-06-30,143.224
2020-07-31,149.585
2020-08-31,142.03
2020-09-30,143.13
2020-10-31,138.272
2020-11-30,140.581
2020-12-31,138.849
2021-01-31,133.812
2021-02-28,126.134
2021-03-31,119.515
2021-04-30,122.506
2021-05-31,122.509
2021-06-30,127.928
2021-07-31,132.675
2021-08-31,132.221
2021-09-30,128.389
2021-10-31,131.542
2021-11-30,135.198
2021-12-31,132.47
2022-01-31,127.283
2022-02-28,125.214
2022-03-31,118.393
2022-04-30,107.233
2022-05-31,104.814
2022-06-30,103.479
2022-07-31,105.995
2022-08-31,101.166
2022-09-30,92.8362
2022-10-31,87.2987
2022-11-30,93.547
2022-12-31,91.095
2023-01-31,98.0593
2023-02-28,93.3012
2023-03-31,97.8175
2023-04-30,98.1463
2023-05-31,95.1878
2023-06-30,95.3944
2023-07-31,92.9676
2023-08-31,90.0468
2023-09-30,82.8866
2023-10-31,78.3584
2023-11-30,86.1349
2023-12-31,93.3155
2024-01-31,91.2206
2024-02-29,89.1665
2024-03-31,89.8645
2024-04-30,84.0635
2024-05-31,86.4904
2024-06-30,88.0624
2024-07-31,91.259
2024-08-31,93.1855
2024-09-30,95.0484
2024-10-31,89.8634
2024-11-30,91.6487
2024-12-31,85.8007
2025-01-31,86.2231
2025-02-28,91.1356
2025-03-31,90.0376
2025-04-30,88.8123
2025-05-31,85.9605
2025-06-30,88.25
2025-07-31,86.92
2025-08-31,86.6
2025-09-30,89.37
2025-10-31,90.29
2025-11-30,90.21
2025-12-31,87.16
2026-01-31,87.13
2026-02-28,89.91
