date,yield_2y
2018-01-01,2.03
2018-02-01,2.18
2018-03-01,2.28
2018-04-01,2.38
2018-05-01,2.51
2018-06-01,2.53
2018-07-01,2.61
2018-08-01,2.64
2018-09-01,2.77
2018-10-01,2.86
2018-11-01,2.86
2018-12-01,2.68
2019-01-01,2.54
2019-02-01,2.5
2019-03-01,2.41
2019-04-01,2.34
2019-05-01,2.21
2019-06-01,1.81
2019-07-01,1.84
2019-08-01,1.57
2019-09-01,1.65
2019-10-01,1.55
2019-11-01,1.61
2019-12-01,1.61
2020-01-01,1.52
2020-02-01,1.33
2020-03-01,0.45
2020-04-01,0.22
2020-05-01,0.17
2020-06-01,0.19
2020-07-01,0.15
2020-08-01,0.14
2020-09-01,0.13
2020-10-01,0.15
2020-11-01,0.17
2020-12-01,0.14
2021-01-01,0.13
2021-02-01,0.12
2021-03-01,0.15
2021-04-01,0.16
2021-05-01,0.16
2021-06-01,0.2
2021-07-01,0.22
2021-08-01,0.22
2021-09-01,0.24
2021-10-01,0.39
2021-11-01,0.51
2021-12-01,0.68
2022-01-01,0.98
2022-02-01,1.44
2022-03-01,1.91
2022-04-01,2.54
2022-05-01,2.62
2022-06-01,3.0
2022-07-01,3.04
2022-08-01,3.25
2022-09-01,3.86
2022-10-01,4.38
2022-11-01,4.5
2022-12-01,4.29
2023-01-01,4.21
2023-02-01,4.53
2023-03-01,4.3
2023-04-01,4.02
2023-05-01,4.13
2023-06-01,4.64
2023-07-01,4.83
2023-08-01,4.9
2023-09-01,5.02
2023-10-01,5.07
2023-11-01,4.88
2023-12-01,4.46
2024-01-01,4.32
2024-02-01,4.54
2024-03-01,4.59
2024-04-01,4.87
2024-05-01,4.86
2024-06-01,4.74
2024-07-01,4.5
2024-08-01,3.97
2024-09-01,3.62
2024-10-01,3.97
2024-11-01,4.26
2024-12-01,4.23
2025-01-01,4.27
2025-02-01,4.21
2025-03-01,3.97
2025-04-01,3.78
2025-05-01,3.92
2025-06-01,3.89
2025-07-01,3.88
2025-08-01,3.7
2025-09-01,3.57
2025-10-01,3.52
2025-11-01,3.55
2025-12-01,3.5
2026-01-01,3.54
2026-02-01,3.47
